"sexo","est_civil","Region","p7_1","p7_2","p7_3","p7_4","p7_5","p7_6","p7_7","p7_8","p7_9","p7_10"
" Mujer","Unión libre/Casado(a)","Sur","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Mujer","Soltero(a)","Sur","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
" Mujer","Unión libre/Casado(a)","D. F. y Estado de México","Sí","Sí","Sí","NS","No","No","Sí","No","No","No"
" Hombre","Unión libre/Casado(a)","Centro","Sí, en parte","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Mujer","Unión libre/Casado(a)","Sur","Sí","Sí","Sí","Sí","Sí, en parte","Sí, en parte","Sí","Sí","Sí","Sí"
" Mujer","Soltero(a)","Centro","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Mujer","Unión libre/Casado(a)","Sur","Sí","No","No","No","No","No","No","No","No","No"
" Mujer","Unión libre/Casado(a)","Centro","NS","NS","Sí","No","No","No","Sí","NS","Sí, en parte","NS"
" Hombre","Separado(a)/Divorciado(a)/Viudo(a)","Centro","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Hombre","Unión libre/Casado(a)","Centro","Sí","Sí","Sí","Sí, en parte","No","No","Sí, en parte","Sí","Sí","No"
" Hombre","Soltero(a)","Sur","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
" Mujer","Unión libre/Casado(a)","Sur","Sí","Sí","Sí","No","Sí","No","Sí","Sí","Sí","No"
" Mujer","Unión libre/Casado(a)","D. F. y Estado de México","Sí","Sí","Sí","No","No","No","Sí","No","Sí","No"
" Mujer","Separado(a)/Divorciado(a)/Viudo(a)","Centro","No","No","No","No","Sí","No","Sí","No","No","No"
" Hombre","Unión libre/Casado(a)","Norte","No","Sí, en parte","No","Sí, en parte","Sí, en parte","No","Sí, en parte","No","No","No"
" Mujer","Separado(a)/Divorciado(a)/Viudo(a)","Centro","No","Sí, en parte","Sí, en parte","No","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","No","No"
" Mujer","Unión libre/Casado(a)","Sur","Sí","No","Sí","Sí, en parte","Sí, en parte","Sí, en parte","No","Sí, en parte","NC","NC"
" Hombre","Separado(a)/Divorciado(a)/Viudo(a)","Centro","Sí","Sí, en parte","Sí","Sí","Sí","No","Sí","Sí","Sí","Sí"
" Hombre","Unión libre/Casado(a)","Norte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","No","No","No"
" Mujer","Unión libre/Casado(a)","Sur","Sí","Sí","Sí, en parte","Sí, en parte","Sí","Sí, en parte","Sí","Sí, en parte","Sí, en parte","Sí"
" Mujer","Unión libre/Casado(a)","Centro","No","No","No","No","No","No","Sí","No","Sí","No"
" Mujer","Separado(a)/Divorciado(a)/Viudo(a)","Centro","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Hombre","Unión libre/Casado(a)","Centro","Sí","Sí","Sí","No","Sí","Sí, en parte","Sí, en parte","Sí, en parte","Sí","No"
" Hombre","Unión libre/Casado(a)","Centro","No","No","Sí, en parte","No","No","No","No","No","No","No"
" Mujer","Soltero(a)","Sur","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Hombre","Unión libre/Casado(a)","D. F. y Estado de México","Sí","Sí, en parte","Sí","Sí","Sí","Sí, en parte","Sí","Sí","Sí","Sí"
" Mujer","Soltero(a)","Norte","Sí","Sí","Sí, en parte","Sí, en parte","Sí","No","Sí, en parte","Sí, en parte","Sí, en parte","No"
" Hombre","Unión libre/Casado(a)","Norte","Sí","Sí","Sí","Sí, en parte","Sí","Sí, en parte","Sí","Sí","Sí","Sí, en parte"
" Mujer","Unión libre/Casado(a)","D. F. y Estado de México","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","No","Sí, en parte","Sí, en parte","Sí","No"
" Mujer","Separado(a)/Divorciado(a)/Viudo(a)","Sur","No","No","No","No","No","No","No","No","No","No"
" Mujer","Unión libre/Casado(a)","Centro","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Mujer","Unión libre/Casado(a)","Sur","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Hombre","Unión libre/Casado(a)","Centro","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Hombre","Unión libre/Casado(a)","Centro","Sí, en parte","Sí","NS","NS","NS","No","No","No","No","No"
" Hombre","Soltero(a)","Norte","Sí","Sí","Sí","No","Sí","Sí","Sí","Sí","Sí","No"
" Hombre","Separado(a)/Divorciado(a)/Viudo(a)","Centro","Sí","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte"
" Hombre","Unión libre/Casado(a)","Centro","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Hombre","Unión libre/Casado(a)","Sur","No","Sí, en parte","Sí, en parte","No","Sí","Sí, en parte","No","No","No","No"
" Hombre","Soltero(a)","Centro","Sí, en parte","No","Sí","No","Sí","No","Sí","No","Sí","No"
" Hombre","Soltero(a)","Centro","Sí","Sí","Sí","No","Sí","Sí","Sí","Sí","Sí","Sí"
" Mujer","Unión libre/Casado(a)","D. F. y Estado de México","Sí, en parte","No","Sí","No","Sí, en parte","No","No","No","No","No"
